target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2
cash_cover_months,short_2017_onward,2023,2023-24,fiscal_only,tree,103,307,,4.204036977426996,5.6305270785198545,0.4163071563834756
cash_cover_months,short_2017_onward,2023,2023-24,fiscal_plus_fire,ridge,103,307,10.0,3.6987805864700993,4.907666955076817,0.556558401037487
cash_cover_months,short_2017_onward,2023,2023-24,fiscal_plus_fire,tree,103,307,,4.204036977426996,5.630527078519853,0.41630715638347593
cash_cover_months,short_2017_onward,2023,2023-24,fiscal_plus_disaster,ridge,103,307,10.0,3.672304351223613,4.87197354451459,0.5629852368289756
cash_cover_months,short_2017_onward,2023,2023-24,fiscal_plus_disaster,tree,103,307,,4.204036977426996,5.630527078519853,0.41630715638347604
maintenance_ratio_pct,long,2016,2016-17,baseline,persistence,102,100,,23.450068907045203,38.446796605808565,-0.20065812337694067
maintenance_ratio_pct,long,2016,2016-17,baseline,training_mean,102,100,,17.954628738278803,35.15985490474321,-0.004137512285633527
maintenance_ratio_pct,long,2016,2016-17,fiscal_only,ridge,102,100,10.0,22.40176100326328,51.473416178979676,-1.1521127876093868
maintenance_ratio_pct,long,2016,2016-17,fiscal_only,tree,102,100,,21.80729875482371,35.85111792310256,-0.04400949468870352
maintenance_ratio_pct,long,2016,2016-17,fiscal_plus_fire,ridge,102,100,10.0,22.344165710771783,50.374028372367206,-1.0611633337056294
maintenance_ratio_pct,long,2016,2016-17,fiscal_plus_fire,tree,102,100,,21.807298754823723,35.851117923102564,-0.044009494688703965
maintenance_ratio_pct,long,2016,2016-17,fiscal_plus_disaster,ridge,102,100,10.0,22.546681552895496,48.63376961994818,-0.9212103146382176
maintenance_ratio_pct,long,2016,2016-17,fiscal_plus_disaster,tree,102,100,,21.807298754823716,35.85111792310256,-0.04400949468870352
maintenance_ratio_pct,long,2017,2017-18,baseline,persistence,100,202,,21.796481974485996,46.774750435881614,-1.8549751653260724
maintenance_ratio_pct,long,2017,2017-18,baseline,training_mean,100,202,,17.331909871591314,27.69925028226778,-0.0011874698464178213
maintenance_ratio_pct,long,2017,2017-18,fiscal_only,ridge,100,202,10.0,18.33539562105095,27.207814379830182,0.03402321602793268
maintenance_ratio_pct,long,2017,2017-18,fiscal_only,tree,100,202,,17.825523411197903,27.60860707243724,0.0053543937889888316
maintenance_ratio_pct,long,2017,2017-18,fiscal_plus_fire,ridge,100,202,10.0,18.094436820592733,26.978639426262884,0.050227776603379626
maintenance_ratio_pct,long,2017,2017-18,fiscal_plus_fire,tree,100,202,,17.825523411197892,27.608607072437245,0.0053543937889887205
maintenance_ratio_pct,long,2017,2017-18,fiscal_plus_disaster,ridge,100,202,10.0,18.800198567726003,27.892331346714275,-0.015193920366732394
maintenance_ratio_pct,long,2017,2017-18,fiscal_plus_disaster,tree,100,202,,17.8255234111979,27.60860707243725,0.0053543937889884985
maintenance_ratio_pct,long,2018,2018-19,baseline,persistence,102,304,,18.937251625194488,43.33124391878314,-0.2186973789500708
maintenance_ratio_pct,long,2018,2018-19,baseline,training_mean,102,304,,17.23143493530109,39.50322022929913,-0.012881324789731696
maintenance_ratio_pct,long,2018,2018-19,fiscal_only,ridge,102,304,100.0,17.21402414083667,37.78138535627454,0.07349168596370881
maintenance_ratio_pct,long,2018,2018-19,fiscal_only,tree,102,304,,19.399954603469073,39.4135575945979,-0.008288557879587932
maintenance_ratio_pct,long,2018,2018-19,fiscal_plus_fire,ridge,102,304,100.0,16.967459854334482,37.72116632344799,0.07644282023278137
