target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
operating_ratio_pct,long,2016,tree,fiscal_plus_disaster,fiscal_only,102,0.0,0.0,4.440892098500626e-16
operating_ratio_pct,long,2016,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,0.0,4.440892098500626e-16
operating_ratio_pct,long,2017,ridge,fiscal_plus_fire,fiscal_only,102,0.06944319156394396,0.08615259758085969,0.02180960400042453
operating_ratio_pct,long,2017,ridge,fiscal_plus_disaster,fiscal_only,102,0.22880536403142937,0.45982192424629,0.11413668781767039
operating_ratio_pct,long,2017,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,0.1593621724674854,0.3736693266654303,0.09232708381724586
operating_ratio_pct,long,2017,tree,fiscal_plus_fire,fiscal_only,102,0.0,-1.7763568394002505e-15,-2.220446049250313e-16
operating_ratio_pct,long,2017,tree,fiscal_plus_disaster,fiscal_only,102,0.0,0.0,0.0
operating_ratio_pct,long,2017,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,1.7763568394002505e-15,2.220446049250313e-16
operating_ratio_pct,long,2018,ridge,fiscal_plus_fire,fiscal_only,103,0.1687811294489503,0.15771727530085933,0.050707484358644805
operating_ratio_pct,long,2018,ridge,fiscal_plus_disaster,fiscal_only,103,2.050053107775067,1.8896534542453285,0.5712493193184505
operating_ratio_pct,long,2018,ridge,fiscal_plus_disaster,fiscal_plus_fire,103,1.881271978326117,1.7319361789444692,0.5205418349598057
operating_ratio_pct,long,2018,tree,fiscal_plus_fire,fiscal_only,103,0.0,0.0,0.0
